budget,n_targeted,pct_population,expected_lift,expected_revenue,expected_cost,expected_roi,pct_positive_cate_targeted,naive_lift,lift_vs_naive,naive_roi,roi_vs_naive
500,1113,1.74,26.5475,1081.18,499.83,1.1631,100.0,20.8395,5.7081,0.698,0.4651
1000,2226,3.48,44.1379,1797.56,999.65,0.7982,100.0,35.558,8.5799,0.4486,0.3495
2500,5566,8.7,82.5108,3360.33,2499.58,0.3444,100.0,67.7507,14.7601,0.1039,0.2405
5000,11133,17.4,129.2337,5263.17,4999.61,0.0527,100.0,108.2205,21.0132,-0.1185,0.1712
10000,22267,34.79,196.0811,7985.6,9999.66,-0.2014,100.0,171.6257,24.4554,-0.301,0.0996
25000,55669,86.98,297.1563,12101.99,24999.83,-0.5159,100.0,284.3117,12.8446,-0.5368,0.0209
